iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
7,neg-sgn-rev,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-zero-inv,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-zero-inv-rev,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-minus,4020,1241025,24671,157.525,1245045,24671,157.525,0
7,neg-minus-rev,0,1245045,24671,157.525,1245045,24671,157.525,0
7,neg-minus-zero,0,1245045,24671,157.525,1245045,24671,157.525,0
7,neg-minus-zero-rev,0,1245045,24671,157.525,1245045,24671,157.525,0
7,vec-mac-add-mul,47379,1245045,24671,157.525,1245045,20659,157.525,0
7,neg_unop,1091,1245045,20659,157.525,1246428,20951,157.525,0
7,sgn_unop,0,1246428,20951,157.525,1246428,20951,157.525,0
7,+_binop_or_zero_vec,9448,1246428,20951,157.525,1255884,20959,157.525,0
7,*_binop_or_zero_vec,6221,1255884,20959,157.525,1262105,20959,54.526999999999994,102.99800000000002
7,-_binop_or_zero_vec,1091,1262105,20959,54.526999999999994,1263196,20959,54.526999999999994,0
7,vec-mac,52812,1263196,20959,54.526999999999994,1316505,22050,54.526999999999994,0
7,commute-add,4937,1316505,22050,54.526999999999994,1321442,22050,54.526999999999994,0
7,commute-mul,4937,1321442,22050,54.526999999999994,1326379,22050,54.526999999999994,0
7,assoc-add,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
7,assoc-mul,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,add-0,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,mul-0,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,mul-1,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,add-0-inv,2482,1326379,22050,54.526999999999994,1328861,22050,54.526999999999994,0
8,mul-1-inv,2482,1328861,22050,54.526999999999994,1331343,22050,54.526999999999994,0
8,div-1,0,1331343,22050,54.526999999999994,1331343,22050,54.526999999999994,0
8,div-1-inv,2482,1331343,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,expand-zero-get,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,litvec,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,neg-neg,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,neg-neg-rev,1391,1333825,22050,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-sgn,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-sgn-rev,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-zero-inv,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-zero-inv-rev,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-minus,2182,1336607,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-rev,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-zero,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-zero-rev,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,vec-mac-add-mul,48872,1338789,23441,54.526999999999994,1338789,21259,54.526999999999994,0
8,neg_unop,300,1338789,21259,54.526999999999994,1339097,21267,54.526999999999994,0
