handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
True,,5.0,False,False,True,2d-conv,cost,912.9159999999999
True,,5.0,False,False,False,q-prod,time,0.0039789676666259766
True,,5.0,False,False,False,q-prod,cost,606.5590000000001
True,,5.0,False,False,False,2d-conv,time,0.003241300582885742
True,,5.0,False,False,False,2d-conv,cost,912.9159999999999
True,,,True,True,True,q-prod,time,54.33201336860657
True,,,True,True,True,q-prod,cost,58.58600000000001
True,,,True,True,True,2d-conv,time,1.143364429473877
True,,,True,True,True,2d-conv,cost,29.739999999999995
True,,,True,True,False,q-prod,time,53.855738162994385
True,,,True,True,False,q-prod,cost,58.58600000000001
True,,,True,True,False,2d-conv,time,1.148679494857788
True,,,True,True,False,2d-conv,cost,29.739999999999995
True,,,True,False,True,q-prod,time,54.35777473449707
True,,,True,False,True,q-prod,cost,54.526999999999994
True,,,True,False,True,2d-conv,time,2.0055501461029053
True,,,True,False,True,2d-conv,cost,26.175999999999988
True,,,True,False,False,q-prod,time,54.42055296897888
True,,,True,False,False,q-prod,cost,54.526999999999994
True,,,True,False,False,2d-conv,time,2.001227617263794
True,,,True,False,False,2d-conv,cost,26.175999999999988
True,,,False,True,True,q-prod,time,54.30838632583618
True,,,False,True,True,q-prod,cost,58.58600000000001
True,,,False,True,True,2d-conv,time,1.1522629261016846
True,,,False,True,True,2d-conv,cost,29.739999999999995
True,,,False,True,False,q-prod,time,54.126524448394775
True,,,False,True,False,q-prod,cost,58.58600000000001
True,,,False,True,False,2d-conv,time,1.1525299549102783
True,,,False,True,False,2d-conv,cost,29.739999999999995
True,,,False,False,True,q-prod,time,54.45951557159424
True,,,False,False,True,q-prod,cost,54.526999999999994
True,,,False,False,True,2d-conv,time,1.9895203113555908
True,,,False,False,True,2d-conv,cost,26.175999999999988
True,,,False,False,False,q-prod,time,54.305757999420166
True,,,False,False,False,q-prod,cost,54.526999999999994
True,,,False,False,False,2d-conv,time,1.9747657775878906
True,,,False,False,False,2d-conv,cost,26.175999999999988
False,t2.json,0.0,True,True,True,q-prod,time,Timed out.
False,t2.json,0.0,True,True,True,q-prod,cost,-1.0
False,t2.json,0.0,True,True,True,2d-conv,time,Timed out.
False,t2.json,0.0,True,True,True,2d-conv,cost,-1.0
False,t2.json,0.0,True,True,False,q-prod,time,Timed out.
False,t2.json,0.0,True,True,False,q-prod,cost,-1.0
False,t2.json,0.0,True,True,False,2d-conv,time,59.73351001739502
False,t2.json,0.0,True,True,False,2d-conv,cost,29.739999999999995
False,t2.json,0.0,True,False,True,q-prod,time,Timed out.
False,t2.json,0.0,True,False,True,q-prod,cost,-1.0
False,t2.json,0.0,True,False,True,2d-conv,time,Timed out.
False,t2.json,0.0,True,False,True,2d-conv,cost,-1.0
False,t2.json,0.0,True,False,False,q-prod,time,55.06463170051575
False,t2.json,0.0,True,False,False,q-prod,cost,70.19800000000001
False,t2.json,0.0,True,False,False,2d-conv,time,49.28172492980957
False,t2.json,0.0,True,False,False,2d-conv,cost,29.739999999999995
False,t2.json,0.0,False,True,True,q-prod,time,Timed out.
False,t2.json,0.0,False,True,True,q-prod,cost,-1.0
False,t2.json,0.0,False,True,True,2d-conv,time,Timed out.
False,t2.json,0.0,False,True,True,2d-conv,cost,-1.0
False,t2.json,0.0,False,True,False,q-prod,time,Timed out.
False,t2.json,0.0,False,True,False,q-prod,cost,-1.0
False,t2.json,0.0,False,True,False,2d-conv,time,Timed out.
False,t2.json,0.0,False,True,False,2d-conv,cost,-1.0
False,t2.json,0.0,False,False,True,q-prod,time,Timed out.
False,t2.json,0.0,False,False,True,q-prod,cost,-1.0
False,t2.json,0.0,False,False,True,2d-conv,time,Timed out.
False,t2.json,0.0,False,False,True,2d-conv,cost,-1.0
False,t2.json,0.0,False,False,False,q-prod,time,53.272716760635376
