rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-6000.json,0,False,False,2d-conv,40,phase_2_n,
time-ablation/rules-t-6000.json,0,False,False,2d-conv,40,impr_cost,
time-ablation/rules-t-6000.json,0,False,False,mat-mul,41,time,0.052082061767578125
time-ablation/rules-t-6000.json,0,False,False,mat-mul,41,cost,-1.0
time-ablation/rules-t-6000.json,0,False,False,mat-mul,41,phase_1_n,
time-ablation/rules-t-6000.json,0,False,False,mat-mul,41,phase_2_n,
time-ablation/rules-t-6000.json,0,False,False,mat-mul,41,impr_cost,
time-ablation/rules-t-6000.json,5,True,False,q-prod,42,time,0.052677154541015625
time-ablation/rules-t-6000.json,5,True,False,q-prod,42,cost,-1.0
time-ablation/rules-t-6000.json,5,True,False,q-prod,42,phase_1_n,
time-ablation/rules-t-6000.json,5,True,False,q-prod,42,phase_2_n,
time-ablation/rules-t-6000.json,5,True,False,q-prod,42,impr_cost,
time-ablation/rules-t-6000.json,5,True,False,2d-conv,43,time,0.05250358581542969
time-ablation/rules-t-6000.json,5,True,False,2d-conv,43,cost,-1.0
time-ablation/rules-t-6000.json,5,True,False,2d-conv,43,phase_1_n,
time-ablation/rules-t-6000.json,5,True,False,2d-conv,43,phase_2_n,
time-ablation/rules-t-6000.json,5,True,False,2d-conv,43,impr_cost,
time-ablation/rules-t-6000.json,5,True,False,mat-mul,44,time,0.05208468437194824
time-ablation/rules-t-6000.json,5,True,False,mat-mul,44,cost,-1.0
time-ablation/rules-t-6000.json,5,True,False,mat-mul,44,phase_1_n,
time-ablation/rules-t-6000.json,5,True,False,mat-mul,44,phase_2_n,
time-ablation/rules-t-6000.json,5,True,False,mat-mul,44,impr_cost,
time-ablation/rules-t-6000.json,5,False,False,q-prod,45,time,0.05306077003479004
time-ablation/rules-t-6000.json,5,False,False,q-prod,45,cost,-1.0
time-ablation/rules-t-6000.json,5,False,False,q-prod,45,phase_1_n,
time-ablation/rules-t-6000.json,5,False,False,q-prod,45,phase_2_n,
time-ablation/rules-t-6000.json,5,False,False,q-prod,45,impr_cost,
time-ablation/rules-t-6000.json,5,False,False,2d-conv,46,time,0.05301332473754883
time-ablation/rules-t-6000.json,5,False,False,2d-conv,46,cost,-1.0
time-ablation/rules-t-6000.json,5,False,False,2d-conv,46,phase_1_n,
time-ablation/rules-t-6000.json,5,False,False,2d-conv,46,phase_2_n,
time-ablation/rules-t-6000.json,5,False,False,2d-conv,46,impr_cost,
time-ablation/rules-t-6000.json,5,False,False,mat-mul,47,time,0.05221438407897949
time-ablation/rules-t-6000.json,5,False,False,mat-mul,47,cost,-1.0
time-ablation/rules-t-6000.json,5,False,False,mat-mul,47,phase_1_n,
time-ablation/rules-t-6000.json,5,False,False,mat-mul,47,phase_2_n,
time-ablation/rules-t-6000.json,5,False,False,mat-mul,47,impr_cost,
time-ablation/rules-t-6000.json,,True,False,q-prod,48,time,68.23516011238098
time-ablation/rules-t-6000.json,,True,False,q-prod,48,cost,-1.0
time-ablation/rules-t-6000.json,,True,False,q-prod,48,phase_1_n,4670
time-ablation/rules-t-6000.json,,True,False,q-prod,48,phase_2_n,
time-ablation/rules-t-6000.json,,True,False,q-prod,48,impr_cost,
time-ablation/rules-t-6000.json,,True,False,2d-conv,49,time,77.36981797218323
time-ablation/rules-t-6000.json,,True,False,2d-conv,49,cost,-1.0
time-ablation/rules-t-6000.json,,True,False,2d-conv,49,phase_1_n,4670
time-ablation/rules-t-6000.json,,True,False,2d-conv,49,phase_2_n,
time-ablation/rules-t-6000.json,,True,False,2d-conv,49,impr_cost,
time-ablation/rules-t-6000.json,,True,False,mat-mul,50,time,2689.38063287735
time-ablation/rules-t-6000.json,,True,False,mat-mul,50,cost,-1.0
time-ablation/rules-t-6000.json,,True,False,mat-mul,50,phase_1_n,4670
time-ablation/rules-t-6000.json,,True,False,mat-mul,50,phase_2_n,
time-ablation/rules-t-6000.json,,True,False,mat-mul,50,impr_cost,
time-ablation/rules-t-6000.json,,False,False,q-prod,51,time,70.32580399513245
time-ablation/rules-t-6000.json,,False,False,q-prod,51,cost,-1.0
time-ablation/rules-t-6000.json,,False,False,q-prod,51,phase_1_n,4670
time-ablation/rules-t-6000.json,,False,False,q-prod,51,phase_2_n,
time-ablation/rules-t-6000.json,,False,False,q-prod,51,impr_cost,
time-ablation/rules-t-6000.json,,False,False,2d-conv,52,time,81.93310713768005
time-ablation/rules-t-6000.json,,False,False,2d-conv,52,cost,-1.0
time-ablation/rules-t-6000.json,,False,False,2d-conv,52,phase_1_n,4670
time-ablation/rules-t-6000.json,,False,False,2d-conv,52,phase_2_n,
time-ablation/rules-t-6000.json,,False,False,2d-conv,52,impr_cost,
time-ablation/rules-t-6000.json,,False,False,mat-mul,53,time,2740.105608701706
time-ablation/rules-t-6000.json,,False,False,mat-mul,53,cost,-1.0
