iteration,name,cd,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
5,neg-minus-zero-rev,0.0009999999999998899,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,vec-mac-add-mul,1,197082,564160,19959,346.98900000000003,564160,14481,346.98900000000003,0
5,neg_unop,102.9,2927,564160,14481,346.98900000000003,568120,15514,346.98900000000003,0
5,sgn_unop,102.9,0,568120,15514,346.98900000000003,568120,15514,346.98900000000003,0
5,+_binop_or_zero_vec,102.8,52191,568120,15514,346.98900000000003,620892,16095,346.98900000000003,0
5,*_binop_or_zero_vec,102.8,15746,620892,16095,346.98900000000003,637463,16920,163.73,183.25900000000004
5,-_binop_or_zero_vec,102.8,3611,637463,16920,163.73,641074,16920,163.73,0
5,vec-mac,106.7,610069,641074,16920,163.73,1009310,19679,163.73,0
5,commute-add,0,4083,1009310,19679,163.73,1013375,19327,163.73,0
5,commute-mul,0,4020,1013375,19327,163.73,1017395,19327,163.73,0
5,assoc-add,0,21,1017395,19327,163.73,1017401,19213,163.73,0
5,assoc-mul,0,0,1017401,19213,163.73,1017401,19213,163.73,0
6,add-0,2.001,0,1017401,19213,163.73,1017401,19213,163.73,0
6,mul-0,2.001,0,1017401,19213,163.73,1017401,19213,163.73,0
6,mul-1,2.001,0,1017401,19213,163.73,1017401,19213,163.73,0
6,add-0-inv,-2.001,7683,1017401,19213,163.73,1025084,19213,163.73,0
6,mul-1-inv,-2.001,7683,1025084,19213,163.73,1032767,19213,163.73,0
6,div-1,2.001,0,1032767,19213,163.73,1032767,19213,163.73,0
6,div-1-inv,-2.001,7683,1032767,19213,163.73,1040450,19213,163.73,0
6,expand-zero-get,-0.002,0,1040450,19213,163.73,1040450,19213,163.73,0
6,litvec,0.099,1,1040450,19213,163.73,1040451,19213,163.73,0
6,neg-neg,3.9999999999999996,0,1040451,19213,163.73,1040451,19213,163.73,0
6,neg-neg-rev,-3.9999999999999996,4756,1040451,19213,163.73,1049963,23969,163.73,0
6,neg-sgn,0,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-sgn-rev,0,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-zero-inv,-2,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-zero-inv-rev,2,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-minus,-0.0009999999999998899,5854,1049963,23969,163.73,1055817,23969,163.73,0
6,neg-minus-rev,0.0009999999999998899,0,1055817,23969,163.73,1055817,23969,163.73,0
6,neg-minus-zero,-0.0009999999999998899,0,1055817,23969,163.73,1055817,23969,163.73,0
6,neg-minus-zero-rev,0.0009999999999998899,0,1055817,23969,163.73,1055817,23969,163.73,0
6,vec-mac-add-mul,1,116380,1055817,23969,163.73,1055817,18477,158.72799999999998,5.0020000000000095
6,neg_unop,102.9,2010,1055817,18477,158.72799999999998,1058626,19276,157.525,1.2029999999999745
6,sgn_unop,102.9,0,1058626,19276,157.525,1058626,19276,157.525,0
6,+_binop_or_zero_vec,102.8,18114,1058626,19276,157.525,1076906,19442,157.525,0
6,*_binop_or_zero_vec,102.8,12540,1076906,19442,157.525,1089572,19568,157.525,0
6,-_binop_or_zero_vec,102.8,2203,1089572,19568,157.525,1091775,19568,157.525,0
6,vec-mac,106.7,452395,1091775,19568,157.525,1207980,21574,157.525,0
6,commute-add,0,5765,1207980,21574,157.525,1213745,21574,157.525,0
6,commute-mul,0,5765,1213745,21574,157.525,1219510,21574,157.525,0
6,assoc-add,0,0,1219510,21574,157.525,1219510,21574,157.525,0
6,assoc-mul,0,0,1219510,21574,157.525,1219510,21574,157.525,0
7,add-0,2.001,0,1219510,21574,157.525,1219510,21574,157.525,0
7,mul-0,2.001,0,1219510,21574,157.525,1219510,21574,157.525,0
7,mul-1,2.001,0,1219510,21574,157.525,1219510,21574,157.525,0
7,add-0-inv,-2.001,5107,1219510,21574,157.525,1224617,21574,157.525,0
7,mul-1-inv,-2.001,5107,1224617,21574,157.525,1229724,21574,157.525,0
7,div-1,2.001,0,1229724,21574,157.525,1229724,21574,157.525,0
7,div-1-inv,-2.001,5107,1229724,21574,157.525,1234831,21574,157.525,0
7,expand-zero-get,-0.002,0,1234831,21574,157.525,1234831,21574,157.525,0
7,litvec,0.099,0,1234831,21574,157.525,1234831,21574,157.525,0
7,neg-neg,3.9999999999999996,0,1234831,21574,157.525,1234831,21574,157.525,0
7,neg-neg-rev,-3.9999999999999996,3097,1234831,21574,157.525,1241025,24671,157.525,0
7,neg-sgn,0,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-sgn-rev,0,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-zero-inv,-2,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-zero-inv-rev,2,0,1241025,24671,157.525,1241025,24671,157.525,0
7,neg-minus,-0.0009999999999998899,4020,1241025,24671,157.525,1245045,24671,157.525,0
7,neg-minus-rev,0.0009999999999998899,0,1245045,24671,157.525,1245045,24671,157.525,0
7,neg-minus-zero,-0.0009999999999998899,0,1245045,24671,157.525,1245045,24671,157.525,0
7,neg-minus-zero-rev,0.0009999999999998899,0,1245045,24671,157.525,1245045,24671,157.525,0
7,vec-mac-add-mul,1,47379,1245045,24671,157.525,1245045,20659,157.525,0
7,neg_unop,102.9,1091,1245045,20659,157.525,1246428,20951,157.525,0
7,sgn_unop,102.9,0,1246428,20951,157.525,1246428,20951,157.525,0
7,+_binop_or_zero_vec,102.8,9448,1246428,20951,157.525,1255884,20959,157.525,0
7,*_binop_or_zero_vec,102.8,6221,1255884,20959,157.525,1262105,20959,54.526999999999994,102.99800000000002
7,-_binop_or_zero_vec,102.8,1091,1262105,20959,54.526999999999994,1263196,20959,54.526999999999994,0
7,vec-mac,106.7,52812,1263196,20959,54.526999999999994,1316505,22050,54.526999999999994,0
7,commute-add,0,4937,1316505,22050,54.526999999999994,1321442,22050,54.526999999999994,0
7,commute-mul,0,4937,1321442,22050,54.526999999999994,1326379,22050,54.526999999999994,0
7,assoc-add,0,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
7,assoc-mul,0,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,add-0,2.001,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,mul-0,2.001,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,mul-1,2.001,0,1326379,22050,54.526999999999994,1326379,22050,54.526999999999994,0
8,add-0-inv,-2.001,2482,1326379,22050,54.526999999999994,1328861,22050,54.526999999999994,0
8,mul-1-inv,-2.001,2482,1328861,22050,54.526999999999994,1331343,22050,54.526999999999994,0
8,div-1,2.001,0,1331343,22050,54.526999999999994,1331343,22050,54.526999999999994,0
8,div-1-inv,-2.001,2482,1331343,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,expand-zero-get,-0.002,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,litvec,0.099,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,neg-neg,3.9999999999999996,0,1333825,22050,54.526999999999994,1333825,22050,54.526999999999994,0
8,neg-neg-rev,-3.9999999999999996,1391,1333825,22050,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-sgn,0,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-sgn-rev,0,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-zero-inv,-2,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-zero-inv-rev,2,0,1336607,23441,54.526999999999994,1336607,23441,54.526999999999994,0
8,neg-minus,-0.0009999999999998899,2182,1336607,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-rev,0.0009999999999998899,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-zero,-0.0009999999999998899,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,neg-minus-zero-rev,0.0009999999999998899,0,1338789,23441,54.526999999999994,1338789,23441,54.526999999999994,0
8,vec-mac-add-mul,1,48872,1338789,23441,54.526999999999994,1338789,21259,54.526999999999994,0
8,neg_unop,102.9,300,1338789,21259,54.526999999999994,1339097,21267,54.526999999999994,0
8,sgn_unop,102.9,0,1339097,21267,54.526999999999994,1339097,21267,54.526999999999994,0
8,+_binop_or_zero_vec,102.8,4192,1339097,21267,54.526999999999994,1343289,21267,54.526999999999994,0
8,*_binop_or_zero_vec,102.8,1734,1343289,21267,54.526999999999994,1345023,21267,54.526999999999994,0
8,-_binop_or_zero_vec,102.8,300,1345023,21267,54.526999999999994,1345323,21267,54.526999999999994,0
8,vec-mac,106.7,24254,1345323,21267,54.526999999999994,1369877,21567,54.526999999999994,0
8,commute-add,0,3101,1369877,21567,54.526999999999994,1372978,21567,54.526999999999994,0
8,commute-mul,0,3101,1372978,21567,54.526999999999994,1376079,21567,54.526999999999994,0
8,assoc-add,0,0,1376079,21567,54.526999999999994,1376079,21567,54.526999999999994,0
8,assoc-mul,0,0,1376079,21567,54.526999999999994,1376079,21567,54.526999999999994,0
9,add-0,2.001,0,1376079,21567,54.526999999999994,1376079,21567,54.526999999999994,0
9,mul-0,2.001,0,1376079,21567,54.526999999999994,1376079,21567,54.526999999999994,0
9,mul-1,2.001,0,1376079,21567,54.526999999999994,1376079,21567,54.526999999999994,0
9,add-0-inv,-2.001,608,1376079,21567,54.526999999999994,1376687,21567,54.526999999999994,0
9,mul-1-inv,-2.001,608,1376687,21567,54.526999999999994,1377295,21567,54.526999999999994,0
9,div-1,2.001,0,1377295,21567,54.526999999999994,1377295,21567,54.526999999999994,0
9,div-1-inv,-2.001,608,1377295,21567,54.526999999999994,1377903,21567,54.526999999999994,0
9,expand-zero-get,-0.002,0,1377903,21567,54.526999999999994,1377903,21567,54.526999999999994,0
9,litvec,0.099,0,1377903,21567,54.526999999999994,1377903,21567,54.526999999999994,0
9,neg-neg,3.9999999999999996,0,1377903,21567,54.526999999999994,1377903,21567,54.526999999999994,0
9,neg-neg-rev,-3.9999999999999996,308,1377903,21567,54.526999999999994,1378519,21875,54.526999999999994,0
9,neg-sgn,0,0,1378519,21875,54.526999999999994,1378519,21875,54.526999999999994,0
9,neg-sgn-rev,0,0,1378519,21875,54.526999999999994,1378519,21875,54.526999999999994,0
9,neg-zero-inv,-2,0,1378519,21875,54.526999999999994,1378519,21875,54.526999999999994,0
9,neg-zero-inv-rev,2,0,1378519,21875,54.526999999999994,1378519,21875,54.526999999999994,0
9,neg-minus,-0.0009999999999998899,600,1378519,21875,54.526999999999994,1379119,21875,54.526999999999994,0
9,neg-minus-rev,0.0009999999999998899,0,1379119,21875,54.526999999999994,1379119,21875,54.526999999999994,0
9,neg-minus-zero,-0.0009999999999998899,0,1379119,21875,54.526999999999994,1379119,21875,54.526999999999994,0
9,neg-minus-zero-rev,0.0009999999999998899,0,1379119,21875,54.526999999999994,1379119,21875,54.526999999999994,0
9,vec-mac-add-mul,1,24038,1379119,21875,54.526999999999994,1379119,21275,54.526999999999994,0
9,neg_unop,102.9,8,1379119,21275,54.526999999999994,1379127,21275,54.526999999999994,0
9,sgn_unop,102.9,0,1379127,21275,54.526999999999994,1379127,21275,54.526999999999994,0
9,+_binop_or_zero_vec,102.8,96,1379127,21275,54.526999999999994,1379223,21275,54.526999999999994,0
9,*_binop_or_zero_vec,102.8,48,1379223,21275,54.526999999999994,1379271,21275,54.526999999999994,0
9,-_binop_or_zero_vec,102.8,8,1379271,21275,54.526999999999994,1379279,21275,54.526999999999994,0
9,vec-mac,106.7,480,1379279,21275,54.526999999999994,1379767,21283,54.526999999999994,0
9,commute-add,0,1391,1379767,21283,54.526999999999994,1381158,21283,54.526999999999994,0
9,commute-mul,0,1391,1381158,21283,54.526999999999994,1382549,21283,54.526999999999994,0
9,assoc-add,0,0,1382549,21283,54.526999999999994,1382549,21283,54.526999999999994,0
9,assoc-mul,0,0,1382549,21283,54.526999999999994,1382549,21283,54.526999999999994,0
10,add-0,2.001,0,1382549,21283,54.526999999999994,1382549,21283,54.526999999999994,0
10,mul-0,2.001,0,1382549,21283,54.526999999999994,1382549,21283,54.526999999999994,0
10,mul-1,2.001,0,1382549,21283,54.526999999999994,1382549,21283,54.526999999999994,0
10,add-0-inv,-2.001,16,1382549,21283,54.526999999999994,1382565,21283,54.526999999999994,0
10,mul-1-inv,-2.001,16,1382565,21283,54.526999999999994,1382581,21283,54.526999999999994,0
10,div-1,2.001,0,1382581,21283,54.526999999999994,1382581,21283,54.526999999999994,0
